Concurso,Data,Local Realizacao,Rateio Processamento,Acumulou,Valor Acumulado,Dezenas,Premiacao
142,1998-11-21T00:00:00-02:00,,False,True,22851887.24,"08, 15, 19, 20, 54, 59","Sena (0 ganhadores), Quina (162 ganhadores), Quadra (13991 ganhadores)"
143,1998-11-28T00:00:00-02:00,,False,True,27136115.88,"06, 18, 20, 40, 50, 53","Sena (0 ganhadores), Quina (144 ganhadores), Quadra (10994 ganhadores)"
144,1998-12-05T00:00:00-02:00,,False,False,0,"08, 32, 36, 44, 45, 55","Sena (1 ganhadores), Quina (257 ganhadores), Quadra (23952 ganhadores)"
145,1998-12-12T00:00:00-02:00,,False,True,1283220.59,"15, 16, 31, 41, 43, 51","Sena (0 ganhadores), Quina (71 ganhadores), Quadra (3389 ganhadores)"
146,1998-12-19T00:00:00-02:00,,False,True,2747335.81,"25, 32, 34, 42, 51, 60","Sena (0 ganhadores), Quina (51 ganhadores), Quadra (4079 ganhadores)"
147,1998-12-24T00:00:00-02:00,,False,False,0,"06, 16, 23, 24, 28, 38","Sena (1 ganhadores), Quina (75 ganhadores), Quadra (5418 ganhadores)"
148,1998-12-31T00:00:00-02:00,,False,True,965880.61,"32, 35, 41, 55, 58, 59","Sena (0 ganhadores), Quina (15 ganhadores), Quadra (2322 ganhadores)"
149,1999-01-09T00:00:00-02:00,,False,True,2211820.94,"07, 11, 20, 28, 45, 48","Sena (0 ganhadores), Quina (106 ganhadores), Quadra (6290 ganhadores)"
150,1999-01-16T00:00:00-02:00,,False,True,21414530.14,"12, 44, 50, 52, 54, 55","Sena (0 ganhadores), Quina (56 ganhadores), Quadra (5540 ganhadores)"
151,1999-01-23T00:00:00-02:00,,False,False,0,"03, 16, 20, 43, 52, 56","Sena (1 ganhadores), Quina (152 ganhadores), Quadra (9869 ganhadores)"
152,1999-01-30T00:00:00-02:00,,False,True,1040614.8,"05, 12, 15, 29, 51, 58","Sena (0 ganhadores), Quina (75 ganhadores), Quadra (5041 ganhadores)"
153,1999-02-06T00:00:00-02:00,,False,True,2329154.62,"02, 30, 31, 42, 45, 47","Sena (0 ganhadores), Quina (47 ganhadores), Quadra (4218 ganhadores)"
154,1999-02-13T00:00:00-02:00,,False,True,3692251.6,"08, 10, 24, 33, 45, 48","Sena (0 ganhadores), Quina (144 ganhadores), Quadra (9252 ganhadores)"
155,1999-02-20T00:00:00-02:00,,False,False,0,"12, 30, 32, 35, 43, 44","Sena (1 ganhadores), Quina (67 ganhadores), Quadra (4974 ganhadores)"
156,1999-02-27T00:00:00-03:00,,False,True,978407.41,"17, 23, 42, 49, 52, 55","Sena (0 ganhadores), Quina (74 ganhadores), Quadra (4455 ganhadores)"
157,1999-03-06T00:00:00-03:00,,False,False,0,"04, 13, 17, 21, 41, 44","Sena (1 ganhadores), Quina (134 ganhadores), Quadra (8894 ganhadores)"
158,1999-03-13T00:00:00-03:00,,False,True,961863.12,"04, 14, 17, 43, 51, 58","Sena (0 ganhadores), Quina (31 ganhadores), Quadra (3630 ganhadores)"
159,1999-03-20T00:00:00-03:00,,False,False,0,"09, 11, 16, 35, 50, 58","Sena (1 ganhadores), Quina (57 ganhadores), Quadra (4124 ganhadores)"
160,1999-03-27T00:00:00-03:00,,False,True,11251511.63,"02, 13, 42, 52, 54, 58","Sena (0 ganhadores), Quina (74 ganhadores), Quadra (6132 ganhadores)"
161,1999-04-03T00:00:00-03:00,,False,True,12896601.04,"06, 25, 30, 37, 39, 41","Sena (0 ganhadores), Quina (95 ganhadores), Quadra (6865 ganhadores)"
162,1999-04-10T00:00:00-03:00,,False,True,15208520.83,"21, 23, 33, 38, 48, 51","Sena (0 ganhadores), Quina (92 ganhadores), Quadra (7244 ganhadores)"
163,1999-04-17T00:00:00-03:00,,False,False,0,"08, 27, 36, 41, 53, 56","Sena (2 ganhadores), Quina (146 ganhadores), Quadra (10793 ganhadores)"
164,1999-04-24T00:00:00-03:00,,False,True,1011737.9,"04, 10, 14, 19, 28, 44","Sena (0 ganhadores), Quina (111 ganhadores), Quadra (8386 ganhadores)"
